,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
12690,2018-09-06,"['mentiram', 'destruir', 'projeto', 'erradicação', 'miséria', 'colocamos', 'curso', 'partir', 'governo', 'mentiram', 'entregar', 'riquezas', 'nacionais', 'favorecer', 'detentores', 'poder', 'econômico', 'financeiro', 'escandalosa', 'traição', 'vontade', 'povo']","[0, 254]",496,183,2018
13521,2018-09-06,"['candidato', 'porque', 'acredito', 'sinceramente', 'justiça', 'eleitoral', 'manterá', 'coerência', 'precedentes', 'jurisprudência', 'desde', '2002', 'curvando', 'chantagem', 'exceção', 'ferir', 'direito', 'direito', 'eleitores', 'votar', 'melhor', 'representa']","[0, 270]",461,178,2018
9162,2018-09-06,"['provamos', 'país', 'pode', 'crescer', 'benefício', 'todos', 'governo', 'coloca', 'trabalhadores', 'pobres', 'centro', 'atenções', 'torna', 'escravo', 'interesses', 'ricos', 'poderosos']","[0, 199]",252,104,2018
13104,2018-09-06,"['milhares', 'lulas', 'contagem', 'mg', 'lulalivre', 'obrasilfelizdenovo', 'foto', 'ricardo', 'stuckert']","[0, 95]",597,206,2018
10479,2018-09-06,"['tempo', 'paz', 'prosperidade', 'nunca', 'antes', 'história', 'acredito', 'fundo', 'coração', 'brasil', 'pode', 'voltar', 'feliz', 'pode', 'avançar', 'conquistamos', 'juntos', 'governo', 'povo']","[0, 226]",267,107,2018
5063,2018-09-06,"['hoje', 'pergunto', 'onde', 'prova', 'tratado', 'procuradores', 'lava', 'jato', 'moro', 'trf4', 'cidadão', 'igual', 'demais', 'tratado', 'sempre', 'inimigo', 'cultivo', 'ódio', 'rancor', 'duvido', 'algozes', 'possam', 'dormir', 'consciência', 'tranquila']","[0, 277]",552,212,2018
12659,2018-09-06,"['assentamentos', 'distribuição', 'terras', 'menos', 'conflitos', 'ocupações', 'campo', 'respeito', 'populações', 'indígenas', 'quilombolas', 'ganhos', 'salariais', 'garantia', 'direitos', 'trabalhadores', 'diálogo']","[0, 235]",249,83,2018
7123,2018-09-06,"['podem', 'certos', 'vamos', 'acabar', 'história', 'vender', 'ativos', 'refém', 'multinacionais', 'petróleo', 'voltará', 'exercer', 'papel', 'estratégico', 'desenvolvimento', 'inclusive', 'direcionamento', 'recursos', 'présal', 'educação']","[0, 261]",233,94,2018
6281,2018-09-06,"['enquanto', 'curitiba', 'resistência', 'tomou', 'conta', 'arredores', 'polícia', 'federal', 'exigir', 'libertação', 'presidente', 'lula', 'lulalivre', 'fotos', 'cláudio', 'kbene']","[0, 167]",329,139,2018
9867,2018-09-06,"['juntos', 'soubemos', 'superar', 'momentos', 'difíceis', 'graves', 'crises', 'econômicas', 'políticas', 'sociais', 'juntos', 'governo', 'vencemos', 'fome', 'desemprego', 'recessão', 'enormes', 'pressões', 'capital', 'internacional', 'representantes', 'país']","[0, 236]",211,91,2018
479,2018-09-06,"['alcançar', 'objetivo', 'unir', 'forçasdemocráticas', 'todo', 'brasil', 'respeitando', 'autonomia', 'partidos', 'movimentos', 'sempre', 'tendo', 'referência', 'projeto', 'país', 'solidário', 'justo', 'resgate', 'dignidade', 'esperança', 'gente', 'sofrida']","[0, 280]",221,92,2018
6395,2018-09-06,"['mentiram', 'derrubar', 'presidenta', 'dilma', 'rousseff', 'legitimamente', 'eleita', 'mentiram', 'país', 'iria', 'melhorar', 'pt', 'saísse', 'governo', 'haveria', 'empregos', 'desenvolvimento', 'mentiram', 'impor', 'programa', 'derrotado', 'urnas', '2014']","[0, 245]",892,294,2018
13254,2018-09-06,"['país', 'todos', 'possam', 'fazer', 'novamente', 'três', 'refeições', 'dia', 'crianças', 'possam', 'frequentar', 'escola', 'todos', 'direito', 'trabalho', 'salário', 'digno', 'proteção', 'lei']","[0, 191]",308,131,2018
9016,2018-09-06,"['provamos', 'somente', 'inclusão', 'milhões', 'pobres', 'pode', 'fazer', 'economia', 'crescer', 'recuperar', 'governamos', 'povo', 'mercado', 'contrário', 'faz', 'governo', 'adversários', 'serviço', 'financistas', 'multinacionais']","[0, 254]",294,121,2018
3158,2018-09-06,"['sonho', 'presidente', 'brasil', 'acabar', 'sofrimento', 'dinheiro', 'comprar', 'botijão', 'gás', 'voltou', 'usar', 'lenha', 'cozinhar', 'pior', 'ainda', 'usam', 'álcool', 'tornam', 'vítimas', 'graves', 'acidentes', 'queimaduras']","[0, 243]",461,163,2018
4479,2018-09-06,"['caravanas', 'brasil', 'vi', 'esperança', 'olhos', 'pessoas', 'vi', 'angústia', 'sofrendo', 'volta', 'fome', 'desemprego', 'desnutrição', 'abandono', 'escolar', 'direitos', 'roubados', 'trabalhadores', 'destruição', 'políticas', 'inclusão', 'social']","[0, 268]",203,77,2018
5229,2018-09-06,"['acenaram', 'pro', 'lula', 'dizendo', 'abrisse', 'mão', 'candidatura', 'sairia', 'cadeia', 'lula', 'falou', 'apresentem', 'prova', 'cometi', 'crime', 'abro', 'mão', 'candidatura', 'haddadfernando', 'lulalivre']","[0, 219]",570,246,2018
2215,2018-09-06,"['fiz', 'governo', 'pobres', 'incluídos', 'orçamento', 'união', 'distribuição', 'renda', 'menos', 'fome', 'saúde', 'menos', 'mortalidade', 'infantil', 'respeito', 'afirmação', 'direitos', 'mulheres', 'negros', 'diversidade', 'menos', 'violência']","[0, 268]",457,174,2018
12413,2018-09-06,"['chegando', 'hora', 'verdade', 'quero', 'presidente', 'brasil', 'novamente', 'porque', 'provei', 'possível', 'construir', 'brasil', 'melhor', 'povo']","[0, 151]",661,235,2018
893,2018-09-06,"['cabeça', 'erguida', 'chegamos', 'considerados', 'povo', 'otimista', 'mundo', 'aprofundamos', 'democracia', 'conquistamos', 'protagonismo', 'internacional', 'criação', 'unasul', 'celac', 'brics', 'relação', 'solidária', 'países', 'africanos', 'voz', 'ouvida']","[0, 279]",201,75,2018
5313,2018-09-06,"['ficou', 'claro', 'iriam', 'prender', 'força', 'crime', 'provas', 'decidi', 'ficar', 'brasil', 'enfrentar', 'algozes', 'sei', 'lugar', 'história', 'sei', 'lugar', 'reservado', 'hoje', 'perseguem', 'certeza', 'justiça', 'fará', 'prevalecer', 'verdade']","[0, 264]",477,189,2018
836,2018-09-06,"['petrobrás', 'criada', 'gerar', 'ganhos', 'especuladores', 'wall', 'street', 'nova', 'iorque', 'garantir', 'autossuficiência', 'petróleo', 'brasil', 'preços', 'compatíveis', 'economia', 'popular', 'petrobrás', 'voltar', 'brasileira']","[0, 247]",540,253,2018
3794,2018-09-06,"['lula', 'meses', 'privado', 'conviver', 'povo', 'brasileiro', 'preso', 'injustamente', 'processos', 'arbitrários', 'história', 'ideia', 'segue', 'viva', 'lado', 'pronta', 'tirálo', 'cárcere', 'político', 'conduzilo', 'presidência', 'vez', 'fotos', 'ricardo', 'stuckert']","[0, 279]",1101,448,2018
13942,2018-09-06,"['educação', 'todos', 'níveis', 'menos', 'crianças', 'escola', 'acesso', 'universidades', 'ensino', 'técnico', 'menos', 'jovens', 'excluídos', 'futuro', 'habitação', 'popular', 'menos', 'conflitos', 'ocupações', 'cidades']","[0, 233]",211,91,2018
5303,2018-09-06,"['assumo', 'missão', 'porque', 'grande', 'responsabilidade', 'brasil', 'porque', 'brasileiros', 'têm', 'direito', 'votar', 'livremente', 'projeto', 'país', 'solidário', 'justo', 'soberano', 'perseverando', 'projeto', 'integração', 'latinoamericana']","[0, 245]",254,99,2018
7258,2018-09-06,"['acabar', 'sofrimento', 'povo', 'novamente', 'candidato', 'presidência', 'república']","[0, 94]",1557,358,2018
3924,2018-09-06,"['juntos', 'reduzimos', 'secular', 'doença', 'desigualdade', 'social', 'marcou', 'formação', 'brasil', 'genocídio', 'indígenas', 'escravidão', 'negros', 'exploração', 'trabalhadores', 'cidade', 'campo']","[0, 196]",184,70,2018
7157,2018-09-06,"['privado', 'conviver', 'diariamente', 'filhos', 'filha', 'netos', 'netas', 'bisneta', 'amigos', 'companheiros', 'dúvida', 'puseram', 'aqui', 'impedir', 'conviver', 'grande', 'família', 'povo', 'brasileiro']","[0, 246]",5368,1525,2018
994,2018-09-06,"['contra', 'todas', 'injustiças', 'direito', 'constitucional', 'recorrer', 'liberdade', 'direito', 'sido', 'negado', 'agora', 'único', 'motivo', 'chamo', 'luiz', 'inácio', 'lula', 'silva', 'considero', 'preso', 'político', 'país']","[0, 246]",374,135,2018
9430,2018-09-06,[],"[0, 23]",550,203,2018
13579,2018-09-06,"['sonho', 'presidente', 'país', 'julgador', 'preste', 'atenção', 'constituição', 'menos', 'manchetes', 'jornais', 'estado', 'direito', 'regra', 'medidas', 'exceção']","[0, 185]",491,170,2018
1899,2018-09-06,"['acusaram', 'lava', 'jato', 'sabem', 'mentiram', 'pois', 'nunca', 'dono', 'nunca', 'posse', 'nunca', 'passei', 'noite', 'tal', 'apartamento', 'guarujá']","[0, 146]",284,106,2018
3501,2018-09-06,"['sei', 'candidatura', 'representa', 'esperança', 'vamos', 'levála', 'últimas', 'consequências', 'porque', 'lado', 'força', 'povo', 'direito', 'sonhar', 'novamente', 'pesadelo', 'imposto', 'golpe', '2016']","[0, 235]",444,185,2018
4107,2018-09-06,"['vivo', 'lançamento', 'précandidatura', 'lula', 'presidência', 'direto', 'minas', 'gerais', 'obrasilfelizdenovo']","[0, 127]",194,89,2018
5290,2018-09-06,"['certeza', 'estaremos', 'juntos', 'final', 'caminhada', 'daqui', 'onde', 'solidariedade', 'energias', 'vêm', 'todos', 'cantos', 'brasil', 'mundoposso', 'assegurar', 'continuarei', 'trabalhando', 'transformar', 'sonhos', 'realidade']","[0, 249]",442,168,2018
11383,2018-09-06,"['suprimiu', 'direitos', 'históricos', 'trabalhadores', 'reduziu', 'salário', 'real', 'cortou', 'investimentos', 'saúde', 'educação', 'destruindo', 'programas', 'bolsa', 'família', 'casa', 'vida', 'pronaf', 'luz', 'pra', 'todos', 'prouni', 'fies']","[0, 237]",216,90,2018
1973,2018-09-06,"['sabemos', 'caminho', 'concretizar', 'sonhos', 'hoje', 'passa', 'realização', 'eleições', 'livres', 'democráticas', 'participação', 'todas', 'forças', 'políticas', 'regras', 'exceção', 'impedir', 'apenas', 'determinado', 'candidato']","[0, 239]",185,77,2018
12279,2018-09-06,"['dois', 'meses', 'preso', 'injustamente', 'ter', 'cometido', 'crime', 'nenhum', 'dois', 'meses', 'impedido', 'percorrer', 'país', 'amo', 'levando', 'mensagem', 'esperança', 'brasil', 'melhor', 'justo', 'oportunidades', 'todos', 'sempre', 'fiz', '45', 'anos', 'vida', 'pública']","[0, 267]",8543,2378,2018
7941,2018-09-06,"['país', 'pessoas', 'voltem', 'ter', 'confiança', 'presente', 'esperança', 'futuro', 'volte', 'respeitado', 'internacionalmente', 'volte', 'promover', 'integração', 'latinoamericana', 'cooperação', 'áfrica']","[0, 223]",201,103,2018
