,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
10915,2018-04-10,"['tá', 'chegando', 'hora', 'fazer', 'brasil', 'feliz', 'novo', 'vamos', 'esperança', 'lembrando', 'brasil', 'construímos', 'junto', 'lula', 'partir', 'dia', 'janeiro', 'vamos', 'resgatar', 'vote13', 'haddadpresidente']","[0, 198]",962,430,2018
8451,2018-04-10,"['manipulado', 'fake', 'news', 'denuncie']","[0, 68]",290,127,2018
1833,2018-04-10,"['ajude', 'compartilhar', 'verdade', 'siga', 'haddadfernando', 'redes', 'oficiais', 'vote13']","[0, 81]",343,146,2018
5514,2018-04-10,"['absurdo', 'contra', 'mino', 'carta', 'absurdo', 'contra', 'mim', 'absurdo', 'contra', 'lula', 'absurdo', 'contra', 'sociedade', 'querem', 'mostrar', 'manda', 'fernando', 'morais', 'após', 'impedido', 'visitar', 'lula']","[0, 211]",206,69,2018
8800,2018-04-10,"['juiz', 'curitiba', 'disse', 'entrássemos', 'poderíamos', 'fazer', 'entrevista', 'lula', 'situação', 'brasil', 'horrível', 'tudo', 'vivemos', 'vergonha', 'mino', 'carta', 'após', 'impedido', 'visitar', 'lula']","[0, 200]",194,62,2018
9198,2018-04-10,"['presidente', 'frente', 'amplio', 'javier', 'miranda', 'disse', 'prisão', 'lula', 'violação', 'direitos', 'humanos']","[0, 136]",368,108,2018
14181,2018-04-10,"['juiz', 'moro', 'faz', 'questão', 'esconder', 'parcialidade']","[0, 89]",2101,736,2018
6413,2018-04-10,"['mostre', 'garra', 'sempre', 'garra', 'militantes', 'petistas', 'sempre', 'demostraram', 'mostrem', 'vontade', 'ganhar', 'ir', 'rua', 'ganhar', 'eleição']","[0, 169]",1038,416,2018
9106,2018-04-10,"['ideal', 'debate', 'levar', 'informação', 'sobretudo', 'pessoas', 'pobres', 'sofrendo', 'política', 'temer', 'apoiada', 'bolsonaro', 'alckmin', 'meirelles', 'haddadfernando', 'chegada', 'globo', 'debate', 'desta', 'noite']","[0, 232]",543,202,2018
5870,2018-04-10,"['viveu', 'governos', 'lula', 'lembra', 'país', 'fome', 'fila', 'emprego', 'oportunidades', 'todos', 'agora', 'hora', 'interromper', 'golpe', 'temer', 'eleger', 'haddadfernando', 'presidente', 'vamos', 'juntos', 'vote13']","[0, 214]",679,299,2018
2132,2018-04-10,"['candidato', 'dizendo', 'favor', 'povo', 'aprovou', 'todas', 'maldades', 'governo', 'temer', 'quebra', 'vice', 'contra', '13', 'salário', 'deixe', 'enganar', 'bolsonaro', 'vote', 'sempre', 'lado', 'trabalhador', 'vote13', 'lulaéhaddad']","[0, 247]",576,231,2018
9079,2018-04-10,"['denúncia', 'fernando', 'morais', 'mino', 'carta', 'impedidos', 'visitar', 'lula', 'prisão']","[0, 102]",442,253,2018
1082,2018-04-10,"['espalhar', 'notícias', 'falsas', 'crime', 'combatefakenews']","[0, 75]",432,226,2018
11435,2018-04-10,"['precisa', 'fazer', 'parte', 'riqueza', 'produzida', 'devolvida', 'povo', 'lula', 'lulaéhaddad', 'vote13', 'vídeo', 'ricardo', 'stuckert']","[0, 138]",1162,538,2018
2675,2018-04-10,"['nota', 'advogados', 'presidente', 'lula', 'lulalivre']","[0, 72]",345,158,2018
