,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
10584,2018-04-08,"['lulaço', 'hoje', 'mercado', 'encruzilhada', 'recife', 'pe', 'lulacandidatosim', 'lulalivre']","[0, 92]",1235,380,2018
12583,2018-04-08,"['acompanhe', 'vivo', 'convenção', 'nacional', 'ptbrasil', 'oficializar', 'lula', 'candidato', 'presidência', 'república', 'lulacandidatosim']","[0, 153]",204,86,2018
4965,2018-04-08,"['hoje', 'casa', 'portugal', 'instantes', 'lula', 'oficializado', 'candidato', 'presidência', 'república']","[0, 103]",1858,533,2018
3635,2018-04-08,"['derrubaram', 'presidenta', 'eleita', 'agora', 'querem', 'vetar', 'direito', 'povo', 'escolher', 'livremente', 'próximo', 'presidente', 'querem', 'inventar', 'democracia', 'povo']","[0, 156]",624,200,2018
12935,2018-04-08,"['onde', 'encontro', 'sempre', 'renovando', 'fé', 'dia', 'reencontro', 'virá', 'vontade', 'povo', 'brasileiro']","[0, 124]",295,95,2018
3720,2018-04-08,"['viva', 'brasil', 'viva', 'partido', 'trabalhadores', 'trabalhadoras', 'abraço', 'lula']","[0, 87]",529,128,2018
2730,2018-04-08,"['luta', 'lula', 'livre', 'apenas', 'luta', 'pt', 'luta', 'todos', 'todas', 'defendemos', 'democracia', 'todos', 'lutam', 'país', 'justo', 'igualitário', 'natalia', 'szermeta', 'mtst']","[0, 197]",136,58,2018
13611,2018-04-08,"['vamos', 'enfrentar', 'luta', 'dura', 'brasil', 'duas', 'ordens', 'quer', 'garantir', 'retrocesso', 'jamais', 'permitido', 'volta', 'mortalidade', 'infantil', 'dilmabr']","[0, 180]",176,67,2018
13769,2018-04-08,"['criamos', 'maiores', 'melhores', 'programas', 'transferência', 'renda', 'mundo', 'bolsa', 'família', 'aumentamos', 'valor', 'real', 'salario', 'mínimo', 'levamos', 'crédito', 'trabalhadores', 'aposentados', 'agricultura', 'familiar', 'criamos', '20', 'milhões', 'empregos']","[0, 257]",154,49,2018
6323,2018-04-08,"['vitória', 'dependerá', 'empenho', 'cada', 'gostaria', 'aí', 'abraçar', 'cada', 'companheira', 'companheiro', 'agradecer', 'toda', 'solidariedade', 'principalmente', 'manterem', 'aceso', 'espírito', 'pt', 'circunstâncias', 'difíceis']","[0, 251]",167,53,2018
8269,2018-04-08,"['governador', 'wdiaspi', 'sabe', 'melhor', 'presidente', 'piauí', 'lulacandidatosim', 'lulalivrejá']","[0, 112]",138,49,2018
12906,2018-04-08,"['fato', 'papa', 'francisco', 'ter', 'atendido', 'pedido', 'receber', '12', 'horas', 'falar', 'sobre', 'presidente', 'lula', 'demonstra', 'mundo', 'preocupado', 'observando', 'brasil', 'celso', 'amorim', 'exchanceler', 'lulalivrejá']","[0, 213]",382,166,2018
14721,2018-04-08,"['senadora', 'presidenta', 'pt', 'gleisi', 'hoffmann', 'gleisi', 'coordenador', 'programa', 'governo', 'haddadfernando', 'enviam', 'mensagem', 'desde', 'curitiba']","[0, 143]",602,210,2018
4446,2018-04-08,"['coisas', 'parecem', 'simples', 'qualquer', 'país', 'civilizado', 'representaram', 'enorme', 'diferença', 'gente', 'sofrida', 'possível', 'porque', 'sempre', 'colocamos', 'trabalhadores', 'pobres', 'centro', 'atenções', 'governo']","[0, 244]",109,43,2018
4579,2018-04-08,"['agora', 'querem', 'fazer', 'eleição', 'presidencial', 'cartas', 'marcadas', 'excluindo', 'nome', 'frente', 'preferência', 'popular', 'todas', 'pesquisas']","[0, 144]",224,89,2018
13673,2018-04-08,"['vivo', 'convenção', 'nacional', 'pt', 'oficializar', 'candidatura', 'lula', 'lulacandidatosim', 'obrasilfelizdenovo', 'lulalivrejá']","[0, 149]",127,54,2018
13556,2018-04-08,"['momento', 'histórico', 'quero', 'dar', 'recado', 'globo', 'apesar', 'aqui', 'lula', 'candidato', 'presidente', 'república', 'milhões', 'lulas', 'pediu', 'cada', 'vai', 'lula', 'ficou', 'mente', 'coração', 'povo', 'brasileiro', 'gleisi']","[0, 280]",908,321,2018
3161,2018-04-08,"['segue', 'líder', 'obrasilfelizdenovo']","[0, 34]",1641,392,2018
9997,2018-04-08,"['dia', '15', 'agosto', 'milhares', 'brasília', 'garantir', 'registro', 'candidatura', 'presidente', 'lula', 'raimundo', 'bonfim', 'central', 'movimentos', 'populares', 'lulacandidatosim']","[0, 181]",411,170,2018
8394,2018-04-08,"['partir', '2003', 'brasileiros', 'passaram', 'tomar', 'café', 'almoçar', 'jantar', 'passaram', 'ter', 'condição', 'ir', 'pra', 'escola', 'estudar', 'exterior', 'nome', 'disso', 'aqui', 'lula', 'presente', 'lula', 'presidente', 'wdiaspi', 'lulacandidatosim']","[0, 228]",473,169,2018
1931,2018-04-08,"['queremos', 'lula', 'candidato', 'presidência', 'porque', 'povo', 'quer', 'dilmabr', 'lulacandidatosim']","[0, 90]",334,114,2018
1589,2018-04-08,"['lula', 'hoje', 'representa', 'democracia', 'país', 'precisamos', 'sim', 'lado', 'mariana', 'dias', 'presidenta', 'uneoficial', 'lulacandidatosim']","[0, 150]",177,71,2018
10003,2018-04-08,"['primeira', 'página', 'hoje', 'la', 'repubblica', 'principal', 'jornal', 'itália', 'entrevista', 'presidente', 'luiz', 'inácio', 'lula', 'silva', 'destaque', 'principal']","[0, 180]",939,469,2018
14668,2018-04-08,"['18', 'anos', 'encontrei', 'lula', 'primeira', 'vez', 'época', 'dura', 'brasil', 'milhões', 'pessoas', 'passando', 'fome', 'milhões', 'pessoas', 'luz', 'médico', 'ditadura', 'militar', 'reunião', 'possível', 'wdiaspi', 'governador', 'pi', 'lulacandidatosim']","[0, 278]",354,110,2018
2220,2018-04-08,"['sabem', 'jamais', 'deixaríamos', 'povo', 'brasileiro', 'voltar', 'pedir', 'esmola', 'semáforos', 'deste', 'país', 'dilmabr', 'lulacandidatosim']","[0, 132]",476,148,2018
1480,2018-04-08,"['carta', 'lula', 'ponderou', 'caçada', 'jurídica', 'alvo', 'afeta', 'todo', 'povo', 'brasileiro', 'derrubaram', 'presidenta', 'eleita', 'agora', 'querem', 'vetar', 'direito', 'povo', 'escolher', 'livremente', 'próximo', 'presidente', 'ressaltou']","[0, 249]",559,209,2018
9992,2018-04-08,"['entrevista', 'eurodeputado', 'gualtierieurope', 'jornal', 'espanhol', 'elpaisbrasil', 'lulalivrejá']","[0, 114]",267,135,2018
6125,2018-04-08,"['convenção', 'nacional', 'ptbrasil', 'pra', 'lançar', 'lula', 'candidato', 'hoje', 'começa', 'retorno', 'melhor', 'presidente', 'história', 'brasil', 'lulalivrejá']","[0, 137]",475,156,2018
13425,2018-04-08,"['lembrei', 'encontrar', 'curitiba', 'dia', 'frio', 'exercitando', 'dizendo', 'precisava', 'pronto', 'pra', 'assumir', 'país', 'jogo', 'processo', 'eleitoral', 'devolver', 'brasileiros', 'direito', 'feliz', 'deputadofederal', 'paulo', 'pimenta']","[0, 265]",236,88,2018
476,2018-04-08,"['enquanto', 'desigualdade', 'homens', 'mulheres', 'brancos', 'negros', 'vai', 'existir', 'pt', 'ptbrasil', 'enquanto', 'existir', 'intolerância', 'vai', 'existir', 'pt', 'haddadfernando', 'lulacandidatosim']","[0, 192]",785,256,2018
158,2018-04-08,"['diferente', 'outros', 'anos', 'decidimos', 'lançar', 'candidato', 'ano', 'apoiar', 'lula', 'porque', 'hoje', 'todas', 'forças', 'contra', 'golpe', 'reúnem', 'torno', 'dessa', 'candidatura', 'apoio', 'incondicional', 'natalia', 'pimenta', 'pco', 'lulacandidatosim']","[0, 239]",781,238,2018
1102,2018-04-08,"['acompanhe', 'convenção', 'nacional', 'ptbrasil', 'lulacandidatosim', 'fotos', 'ricardo', 'stuckert']","[0, 111]",145,48,2018
4216,2018-04-08,"['sérgio', 'moro', 'imaginava', 'foto', 'rodaria', 'mundo', 'lula', 'carregado', 'povo', 'lindberghfarias', 'lulacandidatosim']","[0, 126]",835,254,2018
7327,2018-04-08,"['lula', 'livre', 'lula', 'presidente', 'brasil', 'esuplicy', 'lulalivrejá', 'lulacandidatosim']","[0, 83]",255,87,2018
2753,2018-04-08,"['última', 'vez', 'aqui', 'casa', 'portugal', 'aniversário', 'ptbrasil', 'fiquei', 'lembrando', 'conversas', 'presidente', 'lula', 'deu', 'aperto', 'coração', 'paulo', 'pimenta', 'deputadofederal']","[0, 201]",145,51,2018
14683,2018-04-08,"['papa', 'mandou', 'mensagem', 'escrito', 'presidente', 'lula', 'papa', 'compreensão', 'política', 'acontecendo', 'fariseus', 'vencerão', 'celso', 'amorim', 'exchanceler', 'brasil']","[0, 185]",279,94,2018
7928,2018-04-08,"['primeira', 'vez', '38', 'anos', 'participo', 'pessoalmente', 'encontro', 'nacional', 'partido', 'sei', 'presente', 'meio', 'cada', 'cada', 'dirigente', 'delegado', 'militante', 'pt']","[0, 206]",2268,416,2018
3425,2018-04-08,"['politica', 'externa', 'voltou', 'ditada', 'departamento', 'estado', 'norteamericano', 'hoje', 'democracia', 'ameaçada', 'dois', 'anos', 'deram', 'golpe', 'parlamentar', 'destituir', 'presidenta', 'dilma', 'rousseff', 'rasgando', 'constituição']","[0, 235]",149,63,2018
4659,2018-04-08,[],"[0, 23]",207,84,2018
3114,2018-04-08,"['daqueles', 'têm', 'convicção', 'rumo', 'pentacampeonato', 'petista', 'vamos', 'ganhar', 'quinta', 'eleição', 'consecutiva', 'haddadfernando']","[0, 146]",436,117,2018
10283,2018-04-08,"['nunca', 'pensei', 'música', 'cálice', 'cantada', 'lá', 'rio', 'janeiro', 'iria', 'representar', 'novamente', 'luta', 'dilmabr', 'lulacandidatosim']","[0, 138]",577,176,2018
180,2018-04-08,"['māos', 'fazer', 'feito', 'vamos', 'luta', 'dilmabr', 'lulalivre', 'lulacandidatosim']","[0, 105]",163,64,2018
5697,2018-04-08,"['sentimento', 'lula', 'aqui', 'porque', 'dia', 'prisão', 'pediu', 'voz', 'mariana', 'dias', 'presidenta', 'uneoficial']","[0, 142]",234,59,2018
8449,2018-04-08,"['acompanhe', 'vivo', 'convenção', 'nacional', 'ptbrasil', 'oficializar', 'lula', 'candidato', 'lulacandidatosim']","[0, 126]",198,75,2018
12534,2018-04-09,"['adesão', 'programa', 'universidades', 'passaram', 'contar', 'volume', 'inédito', 'recursos', 'investir', 'produção', 'conhecimento', 'troca', 'ampliaram', 'número', 'vagas', 'criaram', 'cursos', 'noturnos', 'outras', 'ações', 'ajudaram', 'reduzir', 'desigualdades', 'sociais', 'históricas']","[0, 275]",143,42,2018
8794,2018-04-09,"['tempo', 'universidades', 'federais', 'verba', 'sequer', 'pagar', 'conta', 'luz', 'comprar', 'papel', 'higiênico', 'chegada', 'lula', 'presidência', 'quadro', 'mudou']","[0, 181]",68,30,2018
14896,2018-04-09,"['advogados', 'lula', 'apresentaram', 'nesta', 'segundafeira', '39', 'petição', 'comitê', 'direitos', 'humanos', 'onu', 'assegurar', 'brasil', 'cumpra', 'liminar', 'concedida', '17', 'agosto', 'qualquer', 'restrição', 'direitos', 'políticos', 'expresidente', 'lula']","[0, 280]",667,232,2018
