,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
3739,2018-04-13,"['sddsbombom', 'posso', 'ajudar', 'problema', 'boa', 'sorte']","[12, 61]",515,96,2018
673,2018-04-13,"['roraima', 'brasil', '12042018', '👍🏻🇧🇷']","[0, 33]",5392,770,2018
2770,2018-04-13,"['denúncia', 'comente']","[0, 27]",11318,2871,2018
5233,2018-04-14,"['racismo', 'homofobia', 'juntos', 'chega', 'politicamente', 'correto']","[0, 72]",13930,3557,2018
3346,2018-04-15,"['sra', 'chefe', 'mp', 'antes', 'denúncias', 'infundadas', 'deveria', 'conhecer', 'processo', 'criação', 'quilombolas', 'visitalos', 'entender', 'significam', 'muitos', 'casos', 'irmãos', 'ficam', 'reféns', 'chefes', 'liberdade', 'trabalhar', 'terra']","[0, 274]",7152,1714,2018
6254,2018-04-15,"['divisão', 'classes', 'avanço', 'socialismo', 'peço', 'assistir', 'comentar', 'compartilhar']","[0, 85]",6316,1673,2018
2423,2018-04-16,"['smith', 'hays', 'gay', 'fala', 'acusação', 'raquel', 'dodge', 'contra', 'bolsonaro']","[0, 91]",2842,676,2018
315,2018-04-16,"['ninguém', 'vê', 'qualquer', 'desses', 'acusam', 'antidemocrático', 'posicionarem', 'contra', 'controle', 'mídia', 'internet', 'livres', 'ajudam', 'sustentar', 'democracia', 'tornam', 'grande', 'resistência', 'plano', 'poder', 'esquerda', 'várias', 'faces']","[0, 259]",11836,2258,2018
825,2018-04-16,"['editorial', 'jornal', 'estado', 'paulo', 'pt', 'joga', 'cartada', 'bolsonaro', 'dentro', 'stf', 'gilberto', 'carvalho', 'tenta', 'tornar', 'inelegível', 'jair', 'bolsonaro', 'peço', 'compartilhar']","[0, 172]",9393,4241,2018
2556,2018-04-17,"['hoje', 'tudo', 'faz', 'sentido', '👍🏻']","[0, 25]",11203,2340,2018
5794,2018-04-17,"['quilombolas', 'bolsonaro', 'obrigado', 'direita', 'mato', 'grosso']","[0, 60]",6150,1534,2018
4735,2018-04-18,"['honrado', 'ter', 'sido', 'agraciado', 'medalha', 'mérito', 'santos', 'dumont']","[0, 96]",5200,754,2018
535,2018-04-18,"['general', 'mourão', 'deputado', 'bolsonaro', 'espero', 'eleito', 'presidente', 'brasil']","[0, 99]",11193,2765,2018
3254,2018-04-19,"['comemoração', '70', 'anos', 'israel', '🇮🇱', '👏🏻']","[0, 64]",3947,593,2018
4850,2018-04-19,"['assista', 'augustosnunes', 'blogdopim', 'josé', 'maria', 'analisam', 'précandidato', 'bolsonaro']","[0, 109]",990,214,2018
6716,2018-04-19,"['via', 'carlosbolsonaro', 'boa', 'notícia', 'prol', 'preservação', 'história', 'brasil', 'importante', 'papel', 'forças', 'armadas', 'proteção', 'nação', 'parabéns', 'todos', 'especial', 'bravos', 'guerreiros', 'exército', 'brasileiro', 'hoje', 'comemoram', 'dia']","[0, 255]",3183,709,2018
5272,2018-04-19,"['brasília', 'sempre', 'aqui', 'trabalha', 'assista', 'entenda']","[0, 64]",3575,751,2018
1101,2018-04-20,"['mídia', 'esculachada', 'via', 'canalhipocritas', 'assista']","[0, 77]",1723,383,2018
6417,2018-04-21,"['revista', 'veja', 'diz', 'uso', 'robôs', 'última', 'geração', 'obter', 'sucesso', 'internet', 'somente', 'inteligência', 'artificial', 'tal', 'operação', 'poderia', 'detectada', 'robôs', 'verdade', 'povo', 'brasileiro']","[0, 237]",8736,1774,2018
200,2018-04-21,"['muitos', 'robôs', 'internet', 'ativismo', 'pago', 'disse', 'mídia', 'ponto', 'ridículo', 'chegarão', 'tentar', 'denegrir', 'obrigado', 'todos', 'consideração']","[0, 175]",5761,1088,2018
6333,2018-04-21,"['show', 'sérgio', 'malandro', 'carinho', 'recebo', 'preço', 'obrigado', 'sérgio', 'obrigado', 'brasil']","[0, 109]",7239,1475,2018
2057,2018-04-21,"['21', 'abril', 'parabéns', 'reconhecimento', 'duro', 'trabalho', 'policiais', 'militares', 'civis', 'todo', 'brasil', 'dia', 'futuro', 'próximo', 'melhores', 'dias', 'virão', 'todos', 'cidadãos', 'bem', 'forte', 'abraço', 'extensivo', 'toda', 'corporação', 'brasil', 'acima', 'tudo', 'deus', 'acima', 'todos']","[0, 280]",9602,1774,2018
3182,2018-04-21,"['ufcbrasil', 'borrachinhamma', 'parabéns', 'sucesso', 'guerreiro', 'ossss']","[28, 64]",346,19,2018
4818,2018-04-21,"['entrevista', 'programa', 'direto', 'brasília', '👍🏻']","[0, 70]",945,213,2018
2362,2018-04-21,"['vou', 'abrir', 'jogo', 'robô', 'última', 'geração', 'somente', 'detectado', 'inteligência', 'artificial', 'kkkkk']","[0, 119]",14542,2686,2018
1079,2018-04-22,"['cada', 'demonstração', 'carinho', 'crescimento', 'responsabilidade', 'boa', 'noite', 'todos']","[0, 85]",7208,1191,2018
910,2018-04-22,"['hoje', '22abril', '15hs', 'band', 'agora', 'datena', 'estarei', 'lá', 'bom', 'domingo', 'todos', 'jair', 'bolsonaro']","[0, 106]",5146,835,2018
3627,2018-04-22,"['robôs', 'maracanaú', 'pacatuba', 'obrigado', 'ceará', 'vídeo', 'heitorfreirece']","[0, 103]",3694,687,2018
5677,2018-04-23,"['grande', 'parte', 'imprensa', 'consegue', 'ficar', 'pior', 'sempre', 'calúnia', 'norte', 'enéas', 'carneiro', 'campo', 'idéias', 'atual', 'nunca']","[0, 183]",4403,923,2018
5364,2018-04-23,"['paraguai', 'direita', 'parabéns', 'mário', 'abdo', 'benítez', 'campo', 'batalha', 'ideológico', 'inimigos', 'democracia', 'progresso', 'família', 'devem', 'dizimados', 'urnas', 'outubro', 'vez', 'povo', 'bradar', 'brasil', 'acima', 'tudo', 'deus', 'acima', 'todos']","[0, 252]",13321,2483,2018
1421,2018-04-24,"['imaginem', 'jairbolsonaro', 'chamando', 'hiena', 'sra', 'marina', 'silva', 'assista']","[0, 75]",7978,2021,2018
2137,2018-04-25,"['professor', 'condições', 'ministrar', 'aula']","[0, 53]",7035,1847,2018
1586,2018-04-25,"['turismo', 'campanha', 'missão', 'vídeo', '2016']","[0, 73]",1243,169,2018
4691,2018-04-26,"['obrigado', 'belford', 'roxo', 'abraço', 'rio', 'janeiro']","[0, 54]",7885,1490,2018
2216,2018-04-26,"['obrigado', 'santo', 'amaro', 'imperatriz', 'abraço', 'santa', 'catarina']","[0, 68]",3632,627,2018
3919,2018-04-26,"['inteligência', 'artificial', 'pará', 'abraço', 'região', 'norte']","[0, 66]",3249,822,2018
1760,2018-04-26,"['obrigado', 'rondonópolis', 'mt', 'forte', 'abraço', 'região', 'centrooeste']","[0, 64]",1819,444,2018
294,2018-04-26,"['perfis', 'falsos', 'ruas', 'ceará', 'pacatuba', 'maracanaú', 'forte', 'abraço', 'grande', 'região', 'nordeste', '👍🏻']","[0, 102]",3522,751,2018
1902,2018-04-26,"['agredido', 'chamem', 'batman', 'kkkkkkk']","[0, 43]",11954,2319,2018
1366,2018-04-27,"['wadih', 'damous', 'ptrj', 'chama', 'juízes', 'procuradores', 'justiça', 'nazifascistas', 'tudo', 'defender', 'lula']","[0, 126]",2921,674,2018
6786,2018-04-27,"['entrega', 'espadim', 'polícia', 'militar', 'goiás', 'bolsonarosp', 'delegadowaldir']","[0, 79]",2386,291,2018
5050,2018-04-27,"['trump', 'pede', 'oração', 'ben', 'carson', 'palavras', 'muita', 'coincidência', 'brasil', 'via', 'embresistencia']","[0, 102]",4625,1141,2018
645,2018-04-28,"['governar', 'entregar', 'ministérios', 'estatais', 'bancos', 'oficiais', 'partidos', 'políticos', 'então', 'votem', 'fazendo', 'alianças']","[0, 128]",3892,1052,2018
2285,2018-04-28,"['causa', 'descrédito', 'classe', 'política']","[0, 41]",2526,573,2018
5137,2018-04-28,"['lindbergh', 'farias', 'responsabiliza', 'bolsonaro', 'moro', 'globo', 'tiros', 'curitiba']","[0, 102]",2498,496,2018
6432,2018-04-29,"['garotada', 'obrigado', 'confiança', 'combustível', 'esperança', 'brasil', 'melhor', 'parabéns', 'forte', 'abraço', 'todos', 'boa', 'sorte', 'vídeo', 'via', 'tercalivre']","[0, 172]",6365,1277,2018
3776,2018-04-29,"['afinal', 'temor', 'senador', 'lindbergh', 'ptrj']","[0, 56]",3851,723,2018
88,2018-04-29,"['sindicalista', 'jornalista', 'petista', 'ameaça', 'colega', 'profissão', 'rede', 'record', 'cobria', 'acampamento', 'pt', 'curitiba']","[0, 115]",8071,2580,2018
4476,2018-04-29,"['chegada', 'pouco', 'navegantes', 'seguindo', 'compromissos', 'obrigado', 'santa', 'catarina', 'amanhã', 'ribeirão', 'pretosp']","[0, 113]",5801,1252,2018
1171,2018-04-30,"['parabéns', 'garoto', 'forte', 'abraço', 'pai', '👍🏻', 'flaviobolsonaro']","[0, 64]",4332,342,2018
3339,2018-04-30,"['carinho', 'povo', 'indescritível', 'navegantesscbrasil']","[0, 71]",6432,1195,2018
1326,2018-04-30,"['obrigado', 'recepção', 'confiança', 'amigos', 'agrishow', 'maiores', 'feiras', 'ramo', 'américa', 'latina', 'ribeirão', 'preto', 'sp']","[0, 128]",4474,661,2018
3533,2018-05-01,"['antes', 'chamar', 'alguém', 'ditador', 'autoritário', 'veja', 'intenção', 'desarmar', 'povo', 'ninguém', 'sã', 'consciência', 'armaria', 'mesma', 'população', 'quer', 'controlar', 'foto', 'mensagem', 'deixamos', 'exposta', 'brasília', 'início', 'anos', '2000']","[0, 247]",5239,1600,2018
6496,2018-05-01,"['jair', 'bolsonaro', 'relacionava', 'josé', 'genoíno', 'bem', 'diferente', 'pregam', 'alguns', 'sites', 'ironia', 'matéria', 'folha', 'paulo', 'fevereiro2000']","[0, 182]",1488,316,2018
2715,2018-05-01,"['coletiva', 'imprensa', 'bolsonaro', 'psl']","[0, 62]",1084,240,2018
5700,2018-05-02,"['acabamos', 'gravar', 'radical', 'entrevista', 'moura101', 'canal', 'youtube', 'breve', 'assim', 'disponível', 'publicaremos', 'link', 'abraço', 'todos']","[0, 156]",4448,600,2018
362,2018-05-03,"['privatizações', 'bem', 'vindas', 'vou', 'além', 'algumas', 'estatais', 'precisam', 'extintas']","[0, 93]",14610,2686,2018
3623,2018-05-03,"['obrigado', 'salvador', 'grande', 'abraço', 'bahia']","[0, 42]",4271,676,2018
6634,2018-05-03,"['buscado', 'nomes', 'qualificados', 'compor', 'time', 'bem', 'menor', 'antes', 'qualquer', 'resultado', 'prática', 'garantia', 'equipe', 'comprometida', 'interesses', 'nação', 'partidos', 'políticos', 'mantido', 'brasil', 'lama', 'últimos', 'governos']","[0, 277]",9650,1892,2018
4273,2018-05-03,"['passagem', 'israel', 'estados', 'unidos', 'japão', 'coreia', 'sul', 'taiwan', 'deixado', 'cada', 'vez', 'claro', 'norte', 'queremos', 'brasil', 'algo', 'bem', 'diferente', 'governos', 'anteriores', 'simpáticos', 'regimes', 'comunistas', 'fiéis', 'adestrados', 'foro', 'paulo']","[0, 278]",6912,1377,2018
5185,2018-05-03,"['padre', 'sizo', 'mata', 'grandeal', 'fala', 'jair', 'bolsonaro', 'política', 'nacional']","[0, 72]",1805,457,2018
5962,2018-05-04,"['após', 'decisão', 'stf', 'cabe', 'cada', 'empenhar', 'mudar', 'destino', 'pátria']","[0, 115]",6278,1004,2018
3982,2018-05-04,"['boa', 'noite', '👍🏻🇧🇷']","[0, 15]",31499,6410,2018
1490,2018-05-04,"['agora', 'rio', 'grande', 'sul', 'obrigado', 'amigos']","[0, 45]",4413,605,2018
5584,2018-05-05,"['presente', '210°', 'aniversário', 'corpo', 'fuzileiros', 'navais', 'todo', 'brasil', 'rj', 'forte', 'abraço', 'guerreiros']","[0, 111]",4614,499,2018
2723,2018-05-05,"['usando', 'tática', 'mst', 'ativistas', 'quilombolas', 'eldoradosp', 'fecham', 'rodovia']","[0, 73]",3242,832,2018
3881,2018-05-06,"['fique', 'dentro', 'trabalho', 'defendemos', 'propomos']","[0, 88]",3589,919,2018
5346,2018-05-06,"['petista', 'pedro', 'dalari', 'serviço', 'globo', 'fala', 'corrupção', 'governo', 'militar', 'estariam', 'medo', 'possível', 'eleição', 'militar', 'outubro', 'editorial', 'capa', 'jornal', 'globo', '07out1974', 'roberto', 'marinho', 'diz', 'participou', 'revolução', '1964']","[0, 263]",5310,1304,2018
1834,2018-05-07,"['politicamente', 'correto', 'táticas', 'esquerda', 'fazer', 'sempre', 'fizeram', 'países', 'implementaram', 'plano', 'poder', 'simpatizantes', 'tudo', 'adversários', 'forca', 'população', 'controle', 'mordaça', 'nada']","[0, 230]",9384,2145,2018
