,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
6606,2016-01-01,"['2017', 'somatório', 'realizações', 'cidadãos', 'bem', '2016', 'neste', 'ano', 'maioria', 'honesta', 'falará', 'alto', 'estridente', 'minoria', 'canalha']","[0, 140]",581,265,2016
2141,2016-01-04,"['obrigado', 'carinho', 'capixabas', '🇧🇷🇧🇷🇧🇷']","[0, 70]",462,156,2016
4388,2016-01-04,"['verdade', 'virá', 'público', 'bandidos', 'lavajato', 'assombra', 'pt', 'fantasma', 'celso', 'daniel', 'via', 'blogdopim']","[0, 133]",694,470,2016
3331,2016-01-04,"['palestra', 'bem', 'intencionada', 'cobrar', 'associação', 'oficias', 'polícia', 'militar', 'estado', 'espírito', 'santo', '🇧🇷']","[0, 138]",1059,329,2016
418,2016-01-05,"['ato', 'pessoas', 'comuns', 'querem', 'brasil', 'volta', 'frente', 'condomínio', 'obrigado', 'rj', 'obrigado', 'brasil']","[0, 111]",2821,864,2016
724,2016-01-06,"['propor', 'penas', 'rígidas', 'contra', 'crimes', 'cometidos', 'contra', 'mulher', 'machista', 'conheça', 'mídia', 'mostra']","[0, 113]",1902,890,2016
1999,2016-01-06,"['verdades', 'imprensa', 'divulga', 'bolsonaro', 'desmascara', 'falsas', 'defensoras', 'cultura', 'estupro']","[0, 129]",572,272,2016
4403,2016-01-06,"['madelaine', 'lacsko', 'sabe', 'vai', 'eleger', 'bolsonaro', 'presidente', 'manifestantes', 'esquerda']","[0, 116]",509,161,2016
5537,2016-01-06,"['jair', 'bolsonaro', 'bastidores', 'câmara', 'deputados']","[0, 78]",251,60,2016
4185,2016-01-07,"['possibilidade', 'autor', 'projetos', 'contra', 'estupro', 'tempo', 'apologista', 'deste', 'crime', 'odecarvalho']","[0, 115]",2334,935,2016
2521,2016-01-07,"['jbsfriboi', 'propinas', 'legais']","[0, 55]",473,171,2016
327,2016-01-07,"['querem', 'filho', 'anos', 'orientações', 'sexualidade', 'escolas']","[0, 101]",1108,447,2016
4745,2016-01-08,"['atuação', 'bolsonaro', 'vídeos', 'inscrevase', 'gratuitamente', 'canal', 'jair', 'bolsonaro', 'youtube', 'acompanhe']","[0, 107]",943,249,2016
639,2016-01-08,"['contra', 'precisamos', 'lutar', 'entrevista', 'deputado', 'estadual', 'flaviobolsonaro', 'blogdopim']","[0, 121]",291,93,2016
5207,2016-01-08,"['atuação', 'bolsonaro', 'vídeos', 'inscrevase', 'gratuitamente', 'canal', 'jair', 'bolsonaro', 'youtube', 'acompanhe']","[0, 131]",501,130,2016
2850,2016-01-08,"['bate', 'papo', 'vivo', 'antes', 'manifestacão', 'contra', 'pt', 'prol', 'brasil', 'carlosbolsonaro', 'flaviobolsonaro']","[0, 133]",315,62,2016
5249,2016-01-08,"['hoje', 'copacabana', 'rio', 'janeiro', 'brasil', 'carlosbolsonaro', 'flaviobolsonaro', '🇧🇷🇧🇷🇧🇷']","[0, 96]",618,125,2016
