,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
204,2018-09-10,"['adversário', 'falou', 'vai', 'combater', 'encarceramento', 'soltar', 'criminosos', 'cadeia', 'preocupação', 'prioridade', 'pessoas', 'bem', 'falo', 'desde', 'sempre', 'prefiro', 'cadeia', 'lotada', 'criminosos', 'cemitério', 'lotado', 'inocentes', 'faltar', 'espaço', 'gente', 'constrói']","[0, 280]",143104,39412,2018
5413,2018-09-10,"['analisando', 'planos', 'governo', 'tire', 'conclusões']","[0, 75]",18253,4986,2018
6715,2018-09-10,"['vamos', 'pegar', 'pesado', 'contra', 'violência', 'termos', 'brasil', 'seguro', 'livre', 'todas', 'pessoas', 'independente', 'cor', 'sexualidade', 'religião', 'queremos', 'devolver', 'população', 'prazer', 'andar', 'rua', 'medo', 'viver', 'medo', 'inimigo', 'crime', 'cidadão']","[0, 271]",66784,16741,2018
1988,2018-09-10,"['jair', 'bolsonaro', 'sbt', 'temas', 'semana', '👍🏻']","[0, 67]",12750,2415,2018
4342,2018-09-10,"['ontem', 'propôs', 'combate', 'notícias', 'falsas', 'hoje', 'espalha', 'mentiras', 'descaradas', 'respeito', 'favor', 'povo', 'faz', 'política', 'verdade', 'trabalha', 'serviço', 'corrupto', 'preso', 'faz', 'parte', 'quadrilha', 'assaltou', 'brasileiros', 'colocou', 'país', 'lama', 'canalha']","[0, 278]",71811,22842,2018
1267,2018-09-11,"['live', 'passada', 'facebook', 'youtube', 'fatos', 'recentes', 'interesse', 'brasil']","[0, 116]",20247,3223,2018
6033,2018-09-11,"['hoje', '911', '1800', 'entrarei', 'vivo', 'facebook', 'conversar', 'pouco', 'todos', 'respeito', 'fatos', 'recentes', 'interesse', 'brasil', 'lá']","[0, 159]",44558,5701,2018
3002,2018-09-11,"['propostas', 'reforma', 'previdência', 'divulgadas', 'imprensa', 'sugerindo', '40', 'anos', 'contribuição', 'aposentadoria', 'integral', '22', 'alíquota', 'inss', 'autoria', 'tentam', 'atribuir', 'falsamente']","[0, 211]",67591,13290,2018
4001,2018-09-11,"['após', 'eleições', 'grandes', 'empresas', 'anunciaram', 'milhões', 'investimentos', 'brasil', 'próximos', 'anos', 'começo', 'comércio', 'mundo', 'todo', 'viés', 'ideológico', 'redução', 'impostos', 'desburocratização', 'confiança', 'investimentos', 'empregos']","[0, 259]",98115,15994,2018
3236,2018-09-12,"['fakenews', 'descarada', 'dia']","[0, 26]",34770,5275,2018
4837,2018-09-12,"['momento', 'propor', 'novos', 'caminhos', 'cúpula', 'conservadora', 'américas', 'representa', 'anseio', 'parabéns', 'iniciativa', 'venham', 'muitos', 'outros', 'jair', 'bolsonaro', 'presidente', 'eleito', 'brasil', '🇧🇷']","[0, 204]",21134,2556,2018
3218,2018-09-12,"['comunico', 'indicação', 'sr', 'ricardo', 'aquino', 'salles', 'frente', 'futuro', 'ministério', 'meio', 'ambiente']","[0, 111]",39644,4837,2018
6593,2018-09-12,"['eleições', '2018', 'representam', 'resposta', 'estragos', 'projeto', 'poder', 'causou', 'todos', 'lugares', 'especial', 'venezuela', 'país', 'deixará', 'galinha', 'ovos', 'ouro', 'voltará', 'colocar', 'interesses', 'valores', 'brasileiros', 'topo']","[0, 259]",22244,3053,2018
4126,2018-09-12,"['primeira', 'cúpula', 'conservadora', 'américas', 'tempo', 'pensamento', 'conservador', 'valores', 'familiares', 'predominam', 'sociedade', 'marginalizados', 'graças', 'projeto', 'poder', 'revolucionário', 'tocado', 'lideranças', 'esquerda', 'todo', 'continente']","[0, 262]",35818,5702,2018
1309,2018-09-12,"['poder', 'popular', 'substituído', 'grupo', 'fechado', 'usurpava', 'demandas', 'sociais', 'assim', 'tomava', 'controle', 'tudo', 'fundado', 'lula', 'fidel', 'castro', '1990', 'conhecido', 'foro', 'paulo']","[0, 195]",11892,2097,2018
4363,2018-09-13,"['preocuparam', 'fizeram', 'orações', 'noite', 'passada', 'obrigado', 'tudo', 'correu', 'bem', 'graças', 'deus', 'cuidando', 'saúde', 'recuperação', 'faxineiros', 'enfermeiros', 'psicólogo', 'fisioterapeuta', 'médicos', 'seguimos', 'firmes', '👍🏻']","[0, 252]",51789,7425,2018
4789,2018-09-13,"['muita', 'coisa', 'vem', 'sendo', 'falada', 'tentativa', 'dividir', 'consequentemente', 'enfraquecer', 'caiam', 'nessa', 'desde', 'início', 'sabíamos', 'caminhada', 'fácil', 'formamos', 'time', 'sólido', 'preparado', 'missão', 'mudar', 'brasil', 'divisão']","[0, 260]",45554,9594,2018
979,2018-09-13,['🇧🇷👆🏻👉🏻👉🏻'],"[0, 8]",30469,4609,2018
6186,2018-09-14,"['passada', 'nova', 'cirurgia', 'hoje', 'possível', 'dar', 'caminhada', 'maiores', 'problemas', 'espero', 'apto', 'fazer', 'flexões', 'breve', 'kkk', 'boa', 'noite', 'todos', '👍🏻🇧🇷']","[0, 158]",60597,8821,2018
3792,2018-09-14,"['vamos', 'mudar', 'brasil']","[0, 21]",22049,5941,2018
2157,2018-09-14,"['vamos', 'evoluindo', 'cada', 'instante', '🇧🇷👍🏻']","[0, 37]",21995,4286,2018
5306,2018-09-14,"['israel', 'vimos', 'perto', 'meio', 'deserto', 'nordeste', 'brasileiro', 'grande', 'potencial', 'produzir', 'gerar', 'empregos', 'prosperar', 'principalmente', 'falamos', 'agricultura', 'energia', 'limpa', 'onde', 'pretendemos', 'avançar']","[0, 275]",40016,7635,2018
1820,2018-09-15,"['servimos', 'fonte', 'plano', 'poder', 'foro', 'sp', 'ainda', 'vítimas', 'mazelas', 'causadas', 'líderes', 'além', '14', 'milhões', 'brasileiros', 'desempregados', 'hoje', 'todos', 'sofrem', 'crise', 'migratória', 'causada', 'maduro', 'norte', 'brasil', 'região', 'visitada', 'recentemente']","[0, 279]",14051,2723,2018
4150,2018-09-15,"['deus', 'comando', '🇧🇷']","[0, 19]",46076,5910,2018
3215,2018-09-15,"['obrigado', 'palavras', 'senhor', 'ministro', 'interior', 'itália', '2019', 'brasil', 'possa', 'fortalecer', 'relações', 'itália', 'países', 'livres', 'democráticos', 'mundo']","[0, 176]",20992,4163,2018
690,2018-09-15,"['últimos', 'anos', 'pt', 'doou', 'bilhões', 'ditaduras', 'amigas', 'via', 'bndes', 'dinheiro', 'deveria', 'utilizado', 'forma', 'responsável', 'crescimento', 'serviu', 'pra', 'alimentar', 'governos', 'autoritários', 'antidemocráticos', 'cuba', 'venezuela', 'dar', 'retorno', 'algum', 'vai', 'acabar']","[0, 280]",33948,8302,2018
5706,2018-09-15,"['obrigado', 'consideração', 'mulheres', 'todo', 'brasil']","[0, 54]",31373,5164,2018
2729,2018-09-15,"['bom', 'dia', 'todos', '👍🏻']","[0, 19]",13132,1349,2018
